Owner,Category,Stat Name,Field Name,Type,Base Value,Description,Items Count,Abilities Count,Items List,Abilities List
"System","AI Director","Min Time Between Bosses","minTimeBetweenBosses","AIDirector",300.00,"Minimum time between boss spawns (seconds)",0,0,None,None
"System","AI Director","Raycast Height","raycastHeight","AIDirector",50.00,"Vertical offset for raycasting to find ground",0,0,None,None
"System","AI Director/Elite","Elite Chance Per Coin Tier","eliteChancePerCoinTier","EnemySpawnIntegration",0.10,"Additional elite chance per 50 coins",0,0,None,None
"System","AI Director/Elite","Elite Coin Multiplier","eliteCoinMultiplier","EnemySpawnIntegration",1.00,"Coin reward multiplier for elite enemies",0,0,None,None
"System","AI Director/Elite","Elite Damage Multiplier","eliteDamageMultiplier","EnemySpawnIntegration",20.00,"Damage bonus for elite enemies",0,0,None,None
"System","AI Director/Elite","Elite Health Multiplier","eliteHealthMultiplier","EnemySpawnIntegration",100.00,"Health bonus for elite enemies",0,0,None,None
"System","AI Director/Elite","Elite Spawn Chance","baseEliteChance","EnemySpawnIntegration",0.10,"Base chance for elite enemy spawn",0,0,None,None
"System","Time","History Seconds","historySeconds","TimeDirector",5.00,"How many seconds of history to keep",0,0,None,None
"System","Time","Max Active Trackables","maxActiveTrackables","TimeDirector",200.00,"Maximum number of tracked objects",0,0,None,None
"System","Time","Max Tracking Distance","maxTrackingDistance","TimeDirector",50.00,"Maximum distance to track objects",0,0,None,None
